Address,ProjectedValue,Latitude,Longitude
"Washington Avenue Coalition - Memorial Park, Houston, TX",506834.1373477287,29.7770697,-95.43549349999999
"Westchase, Houston, TX",162493.88240185042,29.7277555,-95.57166169999999
"Neartown - Montrose, Houston, TX",586436.3948464309,29.742668,-95.3991888
"Spring Branch West, Houston, TX",362978.3364639981,29.7908472,-95.5446297
"Stonebridge Ranch, McKinney, TX",596565.2879833073,33.1756598,-96.69598889999999
"Valley Ranch, Irving, TX",516907.9635418475,32.9359705,-96.9521236
"Southmost, Brownsville, TX",137330.23071617083,25.9029853,-97.4543626
"Northwest, Irving, TX",349287.3964332041,32.8140177,-96.9488945
"Las Tierras, El Paso, TX",220939.39607017065,31.7816612,-106.2490152
"Fort Bend - Houston, Houston, TX",215783.56266975487,29.5953414,-95.4923678
"Eastex - Jensen Area, Houston, TX",166470.61889423148,29.8481524,-95.3429072
"Northshore, Houston, TX",185206.12191936644,29.7758059,-95.21826279999999
"Acres Home, Houston, TX",194870.0456113778,29.870719,-95.436543
"Spring Branch East, Houston, TX",457609.9157580182,29.8028554,-95.4754992
"North Austin, Austin, TX",411015.3914804775,30.3923316,-97.708224
"Cottonwood, Irving, TX",448498.3799397683,32.8652702,-96.960493
"Greenway - Upper Kirby Area, Houston, TX",496441.6353403364,29.74129,-95.440033
"Highland Hills, San Antonio, TX",167345.66715276218,29.3649418,-98.4404665
"Spring Branch Central, Houston, TX",350489.87707111804,29.8110812,-95.5095815
"Greater Hobby Area, Houston, TX",239670.2463333198,29.6254107,-95.28543690000001
"Meadowbrook - Allendale, Houston, TX",187705.19260133625,29.6874666,-95.2461412
"Freeport/Hackberry, Irving, TX",710813.9893418421,32.9257086,-96.9913991
"Cloverleaf, Houston, TX",220905.0248937968,29.7800656,-95.1675591
"Central, Arlington, TX",261235.44251503295,32.7391075,-97.11443279999999
"Prospect Hill, San Antonio, TX",120947.62492956224,29.4335043,-98.54209019999999
"Sunnyside, Houston, TX",162263.46415672242,29.6641199,-95.36799409999999
"Westridge, McKinney, TX",498700.7145040626,33.1946514,-96.734714
"Northside Village, Houston, TX",284918.1690008282,29.8033011,-95.36103910000001
"People Active in Community Effort, San Antonio, TX",190612.1354365528,29.4251905,-98.4945922
"Western Division, Laredo, TX",124075.05332774603,27.5226813,-99.50641189999999
"Lake Houston, Houston, TX",365204.9113882515,30.0352775,-95.1083932
"Braeswood Place, Houston, TX",536023.0218097639,29.6896577,-95.4400613
"East Little York - Homestead, Houston, TX",168410.17247102506,29.8714094,-95.3005979
"Save the Valley 21, El Paso, TX",157825.47469343842,31.7618778,-106.4850217
"South Acres - Crestmont Park, Houston, TX",190020.6586845705,29.6276396,-95.35562329999999
"Edgebrook Area, Houston, TX",207035.9757244833,29.64539329999999,-95.2265511
"Westbury, Houston, TX",295912.7019982705,29.6536089,-95.4804133
"Spring Branch North, Houston, TX",364298.57449609553,29.8227034,-95.5452559
"East Houston, Houston, TX",165276.84708760437,29.8349834,-95.2579968
"Sterling Ridge, Spring, TX",609506.1478162353,30.1862059,-95.5520414
"Cielo Vista, El Paso, TX",222818.6743592997,31.7754095,-106.3788087
"South Park, Houston, TX",146952.4334069651,29.6663268,-95.33720989999999
"Shadow Creek Ranch, Pearland, TX",412666.128164557,29.5703699,-95.4174103
"Fairbanks - Northwest Crossing, Houston, TX",262962.4294148444,29.8509122,-95.5154068
"Far Greater Northside, Fort Worth, TX",178966.3390611145,32.7867593,-97.35975859999999
"Macgregor, Houston, TX",374539.3099064043,29.7102924,-95.3563212
"Alden Bridge, Spring, TX",465761.1971719296,30.2145859,-95.5277456
"Ost - South Union, Houston, TX",177551.5029843465,29.6911506,-95.3528565
"Greater Fifth Ward, Houston, TX",173226.53500851372,29.7761332,-95.32645
"Meyerland Area, Houston, TX",431797.97341827606,29.686582,-95.4647224
"Town East, Mesquite, TX",258368.43026012575,32.8093788,-96.6227979
"Westwood, Houston, TX",75844.67692240332,29.6753259,-95.5502207
"West Oak Hill, Austin, TX",641239.6437337502,30.2385146,-97.88848809999999
"Irving Heights, Irving, TX",277902.7690803023,32.8243485,-96.9222552
"Summerfields, Fort Worth, TX",287958.55062897387,32.8733117,-97.29719539999999
"Katy Manor, Katy, TX",341423.8795180723,29.7943287,-95.7975553
"Ventana Lakes, Katy, TX",363718.7671957672,29.8378822,-95.77974689999999
"King Crossing, Katy, TX",366362.5448717949,29.8481256,-95.7989971
"Downtown, Houston, TX",386417.4015559026,29.7559698,-95.3573194
"Wedgwood, Fort Worth, TX",295692.5548039121,32.6494382,-97.4029899
"University Place, Houston, TX",935709.3958516445,29.718548,-95.4089487
"Trinity - Houston Gardens, Houston, TX",145961.5730667817,29.8313761,-95.3020313
"Jollyville, Austin, TX",477934.05857432046,30.4065779,-97.7478949
"Braeburn, Houston, TX",214925.76037199656,29.6768908,-95.5283682
"Aldine, Houston, TX",199574.0366774368,29.9014029,-95.4001057
"Grogan's Mill, Spring, TX",423568.9104513107,30.1412246,-95.4679791
"Astrodome Area, Houston, TX",163126.17292506283,29.74129,-95.440033
"Vance Jackson, San Antonio, TX",302300.5553731558,29.5335884,-98.5528746
"Denver Harbor - Port Houston, Houston, TX",157055.09337953277,29.7743832,-95.3011399
"Flour Bluff, Corpus Christi, TX",232427.2107680185,27.6508559,-97.29766169999999
"MacArthur, Irving, TX",294208.43110232893,32.8834239,-96.9640847
"Greater Third Ward, Houston, TX",290138.58091219765,29.7278316,-95.3499071
"New Territory, Sugar Land, TX",434880.3185222386,29.5961654,-95.68174760000001
"Fairfield, Cypress, TX",395526.8568500392,30.0091382,-95.7562488
"Windsor Park, Austin, TX",505970.0057150146,30.3105177,-97.69008459999999
"East Oak Hill, Austin, TX",709471.5966801746,30.240054,-97.83031489999999
"Afton Oaks - River Oaks Area, Houston, TX",1298329.119413023,29.7368538,-95.45324819999999
"Craig Ranch, McKinney, TX",549366.1338501045,33.1312103,-96.718811
"Villages of Woodland Springs, Fort Worth, TX",396193.2541325606,32.9432318,-97.27337829999999
"Casa View Heights, Mesquite, TX",241620.971485368,32.8215183,-96.6503932
"Magnolia Park, Houston, TX",173622.69528211278,29.7371714,-95.2924745
"West University, Austin, TX",390222.3142972436,30.29147,-97.74574439999999
"Diamond Hill - Jarvis, Fort Worth, TX",180051.83504165264,32.8049436,-97.33870499999999
"West University Place, Houston, TX",1512302.564132983,29.7180075,-95.43382919999999
"Northwest, Corpus Christi, TX",219367.7883148065,27.8004719,-97.53585389999999
"Alamo Farmsteads-Babcock Road, San Antonio, TX",280531.3011751003,29.5322837,-98.6049916
"Pecan Park, Houston, TX",188846.58617354315,29.7064733,-95.286076
"Bear Creek, Irving, TX",364110.036742264,32.8186897,-96.998779
"Pleasant Valley, Austin, TX",357889.31120437285,30.23471079999999,-97.7118003
"South Southwest, San Antonio, TX",170922.23507755357,29.3262471,-98.5528746
"Las Colinas, Irving, TX",456246.9522849468,32.8958605,-96.9588229
"Iah - Airport Area, Houston, TX",204901.37469211267,29.9931058,-95.34162549999999
"Cochran's Crossing, Spring, TX",557724.473318698,30.18521299999999,-95.4904802
"Lazy Brook - Timbergrove, Houston, TX",542195.7475993917,29.8016005,-95.438085
"Creek Crossing, Mesquite, TX",322651.2974126665,32.759618,-96.55615429999999
"Bluffview, Dallas, TX",807986.1248282945,32.8584384,-96.829506
"Franklin Park, Austin, TX",321334.81317446585,30.1939634,-97.7446677
"Dellview Area, San Antonio, TX",196351.03485723364,29.4954542,-98.5259628
"Willow Meadows - Willowbend Area, Houston, TX",333233.83807890955,29.6733001,-95.43988259999999
"Album Park, El Paso, TX",211477.24317512373,31.7800488,-106.3397004
"Dyess, Abilene, TX",146293.81793858128,32.422379,-99.8418696
"Plymouth Park, Irving, TX",282897.08761173155,32.8361037,-96.9727577
"Lawndale - Wayside, Houston, TX",258509.59471574865,29.7247703,-95.3112419
"South Park, Beaumont, TX",67097.47100543226,30.0784997,-94.0958209
"Calallen, Corpus Christi, TX",243947.8870565275,27.8559476,-97.6301311
"Silverlake, Pearland, TX",380561.4047791456,29.5597785,-95.3677589
"Great Northwest, San Antonio, TX",247300.7159941981,29.4922794,-98.65730839999999
"Palm Heights, San Antonio, TX",143227.31022534423,29.3879267,-98.5226283
"Panther Creek, Spring, TX",401381.0872882616,30.1578386,-95.5034957
"Independence Heights, Houston, TX",245634.30964416743,29.82841669999999,-95.3977159
"Eagle Springs, Atascocita, TX",326293.1185064935,29.9850475,-95.18231379999999
"North Central, San Antonio, TX",194124.69950926292,29.5574803,-98.53503599999999
"Five Points, El Paso, TX",154922.83083445035,31.8304343,-106.5288374
"Downtown, Austin, TX",737496.5483246356,30.2729209,-97.74438630000002
"Grand Mission, Richmond, TX",380416.50224215246,29.694237,-95.717734
"Stone Oak, San Antonio, TX",430318.4124463157,29.6421136,-98.48943650000001
"Gulfgate Riverview - Pine Valley, Houston, TX",196640.2589263089,29.6979703,-95.29654629999999
"Riverside, Austin, TX",660398.0391248114,30.2313978,-97.7166548
"Heritage, San Antonio, TX",228294.2024673569,29.4305734,-98.6765618
"Central College Station, College Station, TX",260780.81280488303,30.627977,-96.3344068
"Love Field Area, Dallas, TX",257478.3915213776,32.8337533,-96.85552860000001
"Wells Branch, Austin, TX",412094.67952988576,30.4460353,-97.67945069999999
"Panther Creek, Frisco, TX",602539.1570118754,33.19035628491384,-96.84585217738704
"Midtown, Houston, TX",363569.74652169854,29.740795,-95.3756344
"Baylor, Waco, TX",210965.3073587638,31.5500848,-97.11354
"Park Glen, Fort Worth, TX",363837.0036913259,32.8815682,-97.27337829999999
"Sterling Green, Channelview, TX",216654.92673267328,29.8018741,-95.1458131
"Canyon Lakes West, Cypress, TX",385730.154676259,29.9010539,-95.7243879
"Old Katy, Katy, TX",343431.5419058553,29.7857841,-95.8145897
"Aliana, Richmond, TX",555128.2232142857,29.6654582,-95.6854983
"Rosemont, Fort Worth, TX",174238.21519663467,32.6922609,-97.34355389999999
"Villages of Northpointe, Tomball, TX",378256.7912578056,30.0971621,-95.6160549
"The Trails, Frisco, TX",678165.1616585659,33.1604742,-96.8739702
"Second Ward, Houston, TX",290339.9544190769,29.7510926,-95.3240014
"Cypress Lakes, Cypress, TX",336647.008961697,29.9884045,-95.71564169999999
"Central, El Paso, TX",159812.89411956145,31.7719267,-106.4615501
"Garrison Park, Austin, TX",467191.46841441846,30.2088183,-97.8047019
"Cypress Springs, Cypress, TX",259503.06464646463,29.8926582,-95.71024
"Near East, Dallas, TX",628833.5252279831,32.7766642,-96.79698789999999
"Ledgends Ranch, Spring, TX",331561.89732968324,30.112192,-95.38857689999999
"Mountain View, El Paso, TX",143300.20993521213,31.8664949,-106.414986
"Allandale, Austin, TX",819046.9372501472,30.3393252,-97.746952
"West Meadowbrook, Fort Worth, TX",196356.81387707047,32.7439849,-97.2726643
"Running Bear, Irving, TX",309356.936030311,32.7866798,-96.9775569
"Shearer Hills - Ridgeview, San Antonio, TX",249669.6569482388,29.5117422,-98.4897345
"Quail Valley, Missouri City, TX",287208.1362545018,29.5721574,-95.5433542
"Los Angeles Heights - Keystone, San Antonio, TX",172010.86105895095,29.4736259,-98.52602669999999
"North End, Beaumont, TX",65790.93728316866,30.0877356,-94.1226849
"North Side, Fort Worth, TX",176838.35263355775,32.7867593,-97.35975859999999
"Northwest Crossing, San Antonio, TX",254932.50818553576,29.5081082,-98.6793127
"Cypress Creek Lakes, Cypress, TX",559364.1771253517,29.9416535,-95.71024
"Mirabella, Cypress, TX",447924.49720670393,29.9013244,-95.7218405
"Greater Eastwood, Houston, TX",311711.4513287202,29.73570179999999,-95.3339582
"Greatwood, Sugar Land, TX",466102.1726677578,29.5541259,-95.6757811
"Handley, Fort Worth, TX",233840.68317250672,32.73950689999999,-97.2074634
"Sun City, Georgetown, TX",425073.1578963043,30.7182151,-97.7145152
"Montopolis, Austin, TX",397222.27010763926,30.2295806,-97.69706509999999
"Lackland Terrace, San Antonio, TX",175830.79403659143,29.4098297,-98.63940520000001
"North Burnett, Austin, TX",261186.699973752,30.3911419,-97.72183319999999
"South Knoll, College Station, TX",256978.5418921318,30.5993251,-96.3202811
"Highland Park, San Antonio, TX",176630.84328046907,29.3927104,-98.4612389
"Oak Park - Northwood, San Antonio, TX",465060.088573035,29.5068213,-98.4475458
"Brentwood, Austin, TX",663367.6213800904,30.330898,-97.73160650000001
"Woodhaven, Fort Worth, TX",334163.6603429822,32.7733673,-97.22909659999999
"Kashmere Gardens, Houston, TX",149578.75782376857,29.80038609999999,-95.3169786
"Westwood Richland, Abilene, TX",158984.8262417057,32.4648039,-99.770657
"St. Johns, Austin, TX",364498.2413748416,30.3328019,-97.7009416
"Atascocita South, Atascocita, TX",292632.20634920633,29.9914256,-95.1666678
"Sunset Pointe, Little Elm, TX",485979.8331083758,33.1806782,-96.89541919999999
"Hallmark-Camelot, Fort Worth, TX",256882.2028502577,32.6430398,-97.3357499
"Willowbrook, Houston, TX",259833.1858359344,29.9558598,-95.54597869999999
"Zilker, Austin, TX",1020849.3920387836,30.25426879999999,-97.7669536
"Buckner Terrace, Dallas, TX",325488.2671625299,32.7919577,-96.69999279999999
"Eldorado, McKinney, TX",588489.6507067068,33.174047,-96.6919221
"Riverstone, Sugar Land, TX",681857.609183474,29.549327,-95.593265
"Barton Hills, Austin, TX",1040197.4903567212,30.2533686,-97.7835429
"John T White, Fort Worth, TX",319131.61670097086,32.7743376,-97.1871082
"West Waco, Woodway, TX",326652.88745154074,31.4883116,-97.20597029999999
"Mesa Hills, El Paso, TX",224726.3562334453,31.8159792,-106.5245271
"South Shore Harbour, League City, TX",390935.8707664884,29.5338855,-95.0520622
"North By Northwest, Lubbock, TX",190821.0274777273,33.6130297,-101.9291015
"Silver Ranch, Katy, TX",529956.175,29.700865,-95.8131322
"Imperial Oaks, Spring, TX",343596.3655386963,30.1342154,-95.4102297
"ASU-College Hills, San Angelo, TX",225839.37322021477,31.4386537,-100.4598144
"Parker Lane, Austin, TX",466433.23813126126,30.2315744,-97.7373863
"Southwest Richardson, Richardson, TX",338355.497245359,32.9511054,-96.7074977
"Shady Grove, Irving, TX",274596.7192537938,32.8051115,-96.9949349
"Irvin View Pointe, El Paso, TX",155146.22840409956,31.8797379,-106.4134427
"Lakewood Forest, Tomball, TX",372527.0988888889,29.988017,-95.5938291
"Georgian Acres, Austin, TX",332162.74629690096,30.3499918,-97.7009416
"Windsor Hills, Austin, TX",387769.84660663217,30.3627291,-97.67922929999999
"Chimney Rock, Abilene, TX",261599.96409961837,32.386989,-99.7652853
"Pioneer, Irving, TX",290162.3870224103,32.8324623,-97.0227518
"Baylees-Atkins, Lubbock, TX",167803.74059668,33.5399434,-101.8578095
"Park Place, Houston, TX",182219.8078378995,29.754079,-95.3611085
"Bridgeland, Cypress, TX",535253.1143346324,29.9565313,-95.7326149
"Ysleta Mission Valley, El Paso, TX",156394.41847389351,31.6984446,-106.3249824
"Lakes of Bella Terra, Richmond, TX",430619.4108216433,29.687858,-95.7961892
"Indian Creek, Carrollton, TX",542354.1373804755,33.0302937,-96.9333642
"Arnett Benson, Lubbock, TX",96601.5036673001,33.6039527,-101.8806177
"Bridgewood, San Antonio, TX",269856.81806813873,29.5693992,-98.4010758
"Minnetex, Houston, TX",250764.20733729168,29.6256264,-95.32394029999999
"North Hills, El Paso, TX",243204.81502302576,31.9214392,-106.4379642
"Heritage, Fort Worth, TX",459629.96121657785,32.9119957,-97.3044086
"Northwest Los Angeles Heights, San Antonio, TX",162625.79766670548,29.4736259,-98.52602669999999
"South Lamar, Austin, TX",670532.3452233132,30.2372278,-97.7837533
"Bear Creek Estates, Euless, TX",590437.9528596033,32.849642,-97.06734709999999
"Bay Colony Pointe, League City, TX",297533.70995670994,29.4561258,-95.1012447
"Southwest, San Antonio, TX",174049.73354797772,29.3087035,-98.67316849999999
"Telfair, Sugar Land, TX",682978.6367686772,29.59333659999999,-95.6544646
"Las Palmas, San Antonio, TX",123274.37187210452,29.4230199,-98.5487552
"Thompson Community, San Antonio, TX",157801.29876984845,29.3966739,-98.55798659999999
"Paloma Creek, Little Elm, TX",401585.9532504876,33.2229464,-96.9373196
"Senter, Irving, TX",281951.77467507543,32.8012366,-96.9468704
"Thunderbird Hills, San Antonio, TX",228814.1448406504,29.4663838,-98.6082752
"Trails of Katy, Katy, TX",588695.3852459016,29.7709818,-95.8571643
"Anserra, Katy, TX",502139.02857142856,29.773635,-95.8637679
"South Main, Houston, TX",207416.80749805568,29.6725728,-95.4201377
"Memorial Northwest, Spring, TX",403773.497756127,30.0799405,-95.41716009999999
"Vilbig, Irving, TX",301320.2519743159,32.7975543,-96.9533786
"Angelo Heights, San Angelo, TX",173986.43966170377,31.4386537,-100.4598144
"Coles Crossing, Cypress, TX",480616.7233649635,29.97123539999999,-95.65894139999999
"Newport, Crosby, TX",265837.014683153,29.9118885,-95.0621512
"Canyon Creek, Richardson, TX",592147.373576675,32.9859227,-96.736015
"Twin Creeks, Allen, TX",795635.0703756727,33.1089952,-96.71461570000001
"Northwest, Colleyville, TX",1106089.0774111676,32.8809603,-97.155012
"Fairmont Park, La Porte, TX",253874.06666666668,29.6616825,-95.0741838
"Langwood, Houston, TX",219106.63779395484,29.8259722,-95.4936915
"Las Palmares, Laredo, TX",332155.6767115021,27.6122463,-99.45626349999999
"Collins Garden, San Antonio, TX",142385.85531508515,29.3988937,-98.518368
"Quintana Community, San Antonio, TX",135233.14195874578,29.3775726,-98.5473165
"Greater Harmony Hills, San Antonio, TX",301280.7960015925,29.5389535,-98.5064154
"Rainbow Hills, San Antonio, TX",180915.1257909405,29.4064204,-98.6567717
"South Hills, Fort Worth, TX",224495.25532075544,32.6772774,-97.3647326
"Lone Star Trails, Midland, TX",308942.4331198579,32.0761947,-102.0874938
"Cat Hollow, Round Rock, TX",485345.4728999424,30.4961748,-97.7259536
"Longwood Village, Cypress, TX",400470.5582788123,29.9894215,-95.6379087
"Indian Springs, Spring, TX",581293.6528594879,30.0697449,-95.4201476
"Eldorado Heights, McKinney, TX",435861.626934266,33.174047,-96.6919221
"Creekside Park, Spring, TX",679312.3046513362,30.0799405,-95.41716009999999
"Central Meadowbrook, Fort Worth, TX",245821.9466119584,32.7457209,-97.24721009999999
"Coronado, El Paso, TX",233656.8039410984,31.8370723,-106.5467083
"Walnut Creek, Mansfield, TX",414160.69635907584,32.5590795,-97.132293
"El Valle, Brownsville, TX",186708.52436260544,25.9209257,-97.4349909
"MLK 183, Austin, TX",436947.7329268504,30.2760264,-97.66790999999999
"Wooten, Austin, TX",494475.787738639,30.3610582,-97.7232992
"Heritage Hills, Austin, TX",444479.6580135769,30.3435785,-97.68886560000001
"North Lamar, Austin, TX",330895.8512966733,30.370122,-97.68842479999999
"Sunrise Neighborhood Coalition, San Antonio, TX",190902.38338730103,29.4251905,-98.4945922
"South Manchaca, Austin, TX",507166.4781249848,30.2195294,-97.7839041
"Avenida Guadalupe, San Antonio, TX",132151.47555074235,29.4151425,-98.5144352
"Towne Lake, Cypress, TX",620170.7141869487,29.91623349999999,-95.7003651
"Community Workers Council, San Antonio, TX",145528.32757042142,29.4251905,-98.4945922
"Montgomery Creek Ranch, Conroe, TX",302410.3423419928,30.2104496,-95.426655
"Park Central, Abilene, TX",218914.4200085618,32.408811,-99.7754565
"East Highway 80, Abilene, TX",203728.02978796745,32.4447461,-99.6758616
"River Oaks/Brookhollow, Abilene, TX",232017.67241911852,32.4199493,-99.770657
"Gleannloch Farms, Spring, TX",459164.9830862855,30.0799405,-95.41716009999999
"Tuscan Lakes, League City, TX",401234.24813432834,29.4966869,-95.06568899999999
"Elmwood, Abilene, TX",147084.02782868108,32.4313913,-99.7713398
"Phillips Creek Ranch, Frisco, TX",1003767.3117844536,33.1359558,-96.87464059999999
"Nimitz, Irving, TX",278448.88496213703,32.7937002,-96.94686329999999
"Glen Park, Fort Worth, TX",166717.85702036458,32.6864635,-97.2762621
"Crestview, Austin, TX",649281.7195372344,30.348322,-97.727536
"Browning Heights, Haltom City, TX",235528.3312421581,32.8187126,-97.2736312
"Binz, Houston, TX",496252.8472075117,29.7190329,-95.3771456
"Southside, College Station, TX",379999.2847042196,30.6150366,-96.3358334
"Five Mile Creek, Dallas, TX",270514.764609532,32.6986758,-96.8324201
"Garden Acres, Fort Worth, TX",286723.87411839544,32.6025228,-97.2922646
"Sweetbriar, Austin, TX",400154.4888489027,30.1970686,-97.7771702
"Timber Creek, Flower Mound, TX",403050.3814659028,33.0540762,-97.0533125
"Meadow Creek, Fort Worth, TX",275850.02560019976,32.6291853,-97.365161
"Pecan Springs-Springdale, Austin, TX",474895.03284979815,30.3000111,-97.67380229999999
"Grayhawk, Frisco, TX",595261.000198991,33.1838799,-96.8806743
"Sears Park, Abilene, TX",111740.6186579684,32.480338,-99.7511404
"Hidden Cove - Indian Creek-Southwest, San Antonio, TX",156033.33557596777,29.3434093,-98.59957729999999
"West Livingston, Livingston, TX",149893.61022803653,30.7110216,-94.9330202
"Northridge, Lubbock, TX",195235.38911795788,33.5862631,-101.9490718
"Park Creek, Cypress, TX",318780.3038674033,29.9978686,-95.676036
"Yaupon Ranch, Cypress, TX",262538.34381551365,29.8901164,-95.702345
"Belt Line, Irving, TX",280953.5783694135,32.8880047,-96.9865658
"Mueller, Austin, TX",793534.1466840467,30.2986834,-97.70037099999999
"Kingsborough Ridge, San Antonio, TX",189655.57597780952,29.3342821,-98.49202989999999
"Spring Trails, Spring, TX",419454.4697825361,30.1009166,-95.39371129999999
"Pecan Valley, San Antonio, TX",209394.10942187952,29.3753336,-98.4156809
"Stop Six, Fort Worth, TX",162188.75972807562,32.7256875,-97.2518004
"Oakridge, Garland, TX",392518.55205154506,32.9367505,-96.6738359
"Lone Star, San Antonio, TX",181306.57966241383,29.4090493,-98.5013669
"Northridge, Mesquite, TX",210038.05275437832,32.7855004,-96.6102111
"Pasadena, El Paso, TX",142033.75953228338,31.912042,-106.433924
"Bluffs, San Angelo, TX",255485.24660462272,31.4379018,-100.5111556
"Shady Hollow, Austin, TX",667025.1042645975,30.1700949,-97.8547983
"Cobb Park, Abilene, TX",103387.114475193,32.4579155,-99.7511404
"Coomer Creek, Garland, TX",338578.6854492814,32.9451594,-96.6344177
"South Lubbock, Lubbock, TX",180128.2531252917,33.5351706,-101.8459144
"Far Southside, Abilene, TX",292504.88287059654,32.3664426,-99.7734455
"Paloma Lake, Round Rock, TX",553567.463697913,30.56148,-97.619789
"South River City, Austin, TX",1072037.7908677994,30.2499887,-97.74438630000002
"Kendrick, Waco, TX",168825.4682595336,31.5091077,-97.156466
"Bouldin Creek, Austin, TX",958046.6133511028,30.2515465,-97.7543062
"Old River Terrace, Channelview, TX",260443.56170212768,29.7829098,-95.1199869
"Permian Estates, Midland, TX",179299.58680023733,31.9852222,-102.120398
"Sendera Ranch, Haslet, TX",335373.81299843855,32.9859406,-97.3879059
"Timber Ridge, San Antonio, TX",253851.8962838388,29.4650257,-98.6559333
"Dowlen West, Beaumont, TX",232143.19498513188,30.1002665,-94.1682379
"Southern Trails, Pearland, TX",468476.9572072072,29.5493726,-95.40947870000001
"Central East Austin, Austin, TX",611061.3604390948,30.27162349999999,-97.7248647
"Westchester, Grand Prairie, TX",375975.42547221977,32.6721936,-97.0104812
"Carver, Waco, TX",124923.35632090166,31.5879618,-97.124909
"Bowie, Lubbock, TX",196211.0430179177,33.5688996,-101.9291015
"Idiot's Hill, Denton, TX",338989.8576285373,33.2148412,-97.13306829999999
"North Waco, Waco, TX",130311.4493149632,31.5695077,-97.1666837
"Town West, Sugar Land, TX",236791.6446280992,29.6638438,-95.63105709999999
"Landon Branch, Waco, TX",271655.9408927251,31.56604219999999,-97.1871082
"University Park, San Antonio, TX",163933.72798031112,29.4476271,-98.5144462
"Timber Lane, Spring, TX",213915.3247477764,30.0443293,-95.3926463
"Lone Oak Village, Cypress, TX",364257.75,29.8993312,-95.6891891
"Grand Meadow, Richmond, TX",365023.8365384616,29.5821811,-95.76078319999999
"Ridgeview, Plano, TX",540586.1266078727,33.1084545,-96.7634518
"Fairway Bend, Fort Worth, TX",416582.2059306076,32.849683,-97.3118255
"Lakemont, Richmond, TX",361347.8875,29.5821811,-95.76078319999999
"Lewisville Valley, Lewisville, TX",367826.5138787614,33.0363776,-97.0108605
"Wellington, Flower Mound, TX",643606.0552066378,33.0145673,-97.0969552
"Stubbs-Stewart, Lubbock, TX",136458.76425891285,33.5564919,-101.9148393
"Reagan, San Angelo, TX",119631.6853165923,31.4780346,-100.4444009
"Wilshire, Midland, TX",209191.9891573113,31.9791367,-102.1350927
"Deerfield Heights, Forney, TX",324653.0817279026,32.7643109,-96.4561997
"Lakeview West, Grand Prairie, TX",485250.9590401848,32.5772668,-97.04971359999999
"Homestead Meadows North, El Paso, TX",243542.03114713109,31.851497,-106.1716463
"Caprock, Lubbock, TX",197292.6531877512,33.5377358,-101.8806177
"Oakwood Terrace, Euless, TX",296437.516762715,32.8263678,-97.0934152
"The Legends, The Colony, TX",468850.5818425755,33.0882164,-96.86409549999999
"Wheelock & Monterey, Lubbock, TX",146631.706910769,33.6237478,-101.8475829
"Brittany Lakes, League City, TX",365199.6512096774,29.479223,-95.122231
